SourceFile,EXIF_BitsPerSample,XMP_BitsPerSample
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1647.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1647_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1648.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1648_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1653.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1653_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1657.tif,16,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1657_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1668.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1668_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1672.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1672_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1681.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1681_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1688.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1688_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1690.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1690_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1691.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1691_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1692.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1692_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1694.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1694_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1696.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1696_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1698.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1698_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1699.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1699_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1700.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1700_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1730.tif,16,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1730_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1737.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1737_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1738.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1738_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1746.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1746_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1763.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1763_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1774.tif,16,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1774_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1779.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1779_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1782.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1782_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1785.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1785_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1799.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1799_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1810.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1810_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1866.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1866_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1920.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1920_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1925.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1925_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1931.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1931_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1935.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1935_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1936.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1936_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1939.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1939_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1940.tif,16,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1940_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1947.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1947_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1952.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1952_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1953.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1953_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1964.tif,16,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1964_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1991.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1991_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1999.tif,16,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-1999_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-2009.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-2009_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-8/66-2018.tif,8,16
